Unnamed: 0.1,name,club_x,Unnamed: 0,nationality,position,club_y,birth_year,games,games_starts,minutes,cards_yellow,cards_red,minutes_90s,goals,shots,shots_free_kicks,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_short,passes_medium,passes_long,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,tackles,tackles_won,dribble_tackles,dribbled_past,blocks,interceptions,clearances,errors,touches,touches_live_ball,dribbles,miscontrols,dispossessed,passes_received,fouls,fouled,ball_recoveries,aerials_won,"aerials_lost,",FC 25,FC 24,FIFA 23,FIFA 22,FIFA 21,FIFA 20,FIFA 19,FIFA 18,FIFA 17,FIFA 16,FIFA 15,FIFA 14/25,FIFA 13,FIFA 12,FIFA 11,FIFA 10,FIFA 09,FIFA 08,FIFA 07,injury_type,start_date,end_date,duration,injury_year
1040.0,jean-paul-boëtius,Hertha BSC,279.0,nl NED,"MF,FW",Hertha BSC,1994.0,11.0,5.0,574.0,2.0,0.0,6.4,0.0,4.0,0.0,164.0,227.0,2955.0,1139.0,85.0,88.0,36.0,211.0,13.0,10.0,2.0,4.0,3.0,0.0,15.0,8.0,3.0,5.0,12.0,6.0,5.0,0.0,307.0,307.0,9.0,15.0,9.0,182.0,5.0,16.0,41.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,knock,2016-11-14,2016-12-08,24.0,2016.0
1040.0,jean-paul-boëtius,Hertha BSC,279.0,nl NED,"MF,FW",Hertha BSC,1994.0,11.0,5.0,574.0,2.0,0.0,6.4,0.0,4.0,0.0,164.0,227.0,2955.0,1139.0,85.0,88.0,36.0,211.0,13.0,10.0,2.0,4.0,3.0,0.0,15.0,8.0,3.0,5.0,12.0,6.0,5.0,0.0,307.0,307.0,9.0,15.0,9.0,182.0,5.0,16.0,41.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,ankle injury,2016-02-18,2016-04-21,63.0,2016.0
1040.0,jean-paul-boëtius,Hertha BSC,279.0,nl NED,"MF,FW",Hertha BSC,1994.0,11.0,5.0,574.0,2.0,0.0,6.4,0.0,4.0,0.0,164.0,227.0,2955.0,1139.0,85.0,88.0,36.0,211.0,13.0,10.0,2.0,4.0,3.0,0.0,15.0,8.0,3.0,5.0,12.0,6.0,5.0,0.0,307.0,307.0,9.0,15.0,9.0,182.0,5.0,16.0,41.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,hip problems,2015-09-24,2015-11-05,42.0,2015.0
1040.0,jean-paul-boëtius,Hertha BSC,279.0,nl NED,"MF,FW",Hertha BSC,1994.0,11.0,5.0,574.0,2.0,0.0,6.4,0.0,4.0,0.0,164.0,227.0,2955.0,1139.0,85.0,88.0,36.0,211.0,13.0,10.0,2.0,4.0,3.0,0.0,15.0,8.0,3.0,5.0,12.0,6.0,5.0,0.0,307.0,307.0,9.0,15.0,9.0,182.0,5.0,16.0,41.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,thigh muscle strain,2015-08-06,2015-08-17,11.0,2015.0
1040.0,jean-paul-boëtius,Hertha BSC,279.0,nl NED,"MF,FW",Hertha BSC,1994.0,11.0,5.0,574.0,2.0,0.0,6.4,0.0,4.0,0.0,164.0,227.0,2955.0,1139.0,85.0,88.0,36.0,211.0,13.0,10.0,2.0,4.0,3.0,0.0,15.0,8.0,3.0,5.0,12.0,6.0,5.0,0.0,307.0,307.0,9.0,15.0,9.0,182.0,5.0,16.0,41.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,ankle injury,2015-03-09,2015-03-16,7.0,2015.0
1040.0,jean-paul-boëtius,Hertha BSC,279.0,nl NED,"MF,FW",Hertha BSC,1994.0,11.0,5.0,574.0,2.0,0.0,6.4,0.0,4.0,0.0,164.0,227.0,2955.0,1139.0,85.0,88.0,36.0,211.0,13.0,10.0,2.0,4.0,3.0,0.0,15.0,8.0,3.0,5.0,12.0,6.0,5.0,0.0,307.0,307.0,9.0,15.0,9.0,182.0,5.0,16.0,41.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,knee injury,2013-10-28,2013-11-04,7.0,2013.0
1040.0,jean-paul-boëtius,Hertha BSC,279.0,nl NED,"MF,FW",Hertha BSC,1994.0,11.0,5.0,574.0,2.0,0.0,6.4,0.0,4.0,0.0,164.0,227.0,2955.0,1139.0,85.0,88.0,36.0,211.0,13.0,10.0,2.0,4.0,3.0,0.0,15.0,8.0,3.0,5.0,12.0,6.0,5.0,0.0,307.0,307.0,9.0,15.0,9.0,182.0,5.0,16.0,41.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,meniscal injury,2013-04-18,2013-09-05,140.0,2013.0
1040.0,jean-paul-boëtius,Hertha BSC,279.0,nl NED,"MF,FW",Hertha BSC,1994.0,11.0,5.0,574.0,2.0,0.0,6.4,0.0,4.0,0.0,164.0,227.0,2955.0,1139.0,85.0,88.0,36.0,211.0,13.0,10.0,2.0,4.0,3.0,0.0,15.0,8.0,3.0,5.0,12.0,6.0,5.0,0.0,307.0,307.0,9.0,15.0,9.0,182.0,5.0,16.0,41.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,knee problems,2012-12-06,2012-12-13,7.0,2012.0
309.0,jean-philippe-mateta,Crystal Palace,1424.0,fr FRA,FW,Crystal Palace,1997.0,11.0,2.0,283.0,2.0,0.0,3.1,1.0,11.0,0.0,41.0,62.0,481.0,41.0,36.0,10.0,3.0,59.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,7.0,0.0,102.0,102.0,3.0,10.0,4.0,71.0,7.0,2.0,9.0,10.0,"10.0,",79.0,75.0,,,,,,,,,,,,,,,,,,torn meniscus,2019-07-30,2019-12-08,131.0,2019.0
608.0,jean-ricner-bellegarde,RC Strasbourg Alsace,226.0,fr FRA,"MF,DF",Strasbourg,1998.0,15.0,15.0,1297.0,3.0,0.0,14.4,1.0,16.0,5.0,550.0,734.0,9915.0,3057.0,271.0,287.0,133.0,656.0,73.0,15.0,2.0,5.0,82.0,37.0,23.0,11.0,4.0,8.0,11.0,18.0,14.0,0.0,897.0,897.0,51.0,32.0,22.0,576.0,15.0,38.0,98.0,8.0,20.0,75.0,75.0,,,,,,,,,,,,,,,,,,,,,,
